;------------------------------------------------------------
;1_霊夢
;------------------------------------------------------------
;服
別立ち_服_通常_1,1_別立.webp,0,0,180,180
別立ち_服_笑顔_1,1_別立.webp,180,0,180,180
別立ち_服_憤怒_1,1_別立.webp,360,0,180,180
別立ち_服_睡眠_1,1_別立.webp,0,540,180,180
;裸
別立ち_裸_通常_1,1_別立.webp,0,180,180,180
別立ち_裸_笑顔_1,1_別立.webp,180,180,180,180
別立ち_裸_憤怒_1,1_別立.webp,360,180,180,180
別立ち_裸_睡眠_1,1_別立.webp,180,540,180,180
;服
別顔_服_通常_1,1_別顔.webp,0,0,180,180
別顔_服_笑顔_1,1_別顔.webp,180,0,180,180
別顔_服_憤怒_1,1_別顔.webp,360,0,180,180
別顔_服_睡眠_1,1_別顔_睡眠.webp,180,0,180,180
別顔_服_発情_1,1_別顔.webp,900,0,180,180
;裸
別顔_裸_通常_1,1_別顔.webp,0,180,180,180
別顔_裸_笑顔_1,1_別顔.webp,180,180,180,180
別顔_裸_憤怒_1,1_別顔.webp,360,180,180,180
別顔_裸_睡眠_1,1_別顔_睡眠.webp,180,180,180,180
別顔_裸_発情_1,1_別顔.webp,900,180,180,180
別顔_裸_自慰_1,1_別顔.webp,720,180,180,180
別顔_裸_愛撫_1,1_別顔.webp,0,360,180,180
別顔_裸_性交_1,1_別顔.webp,180,360,180,180

;特殊服装
別立ち_服_下着_通常_1,1_別立.webp,0,360,180,180
別立ち_服_下着_笑顔_1,1_別立.webp,180,360,180,180
別立ち_服_下着_憤怒_1,1_別立.webp,360,360,180,180
別立ち_服_ノーブラ下着_通常_1,1_別立.webp,0,1260,180,180
別立ち_服_ノーブラ下着_笑顔_1,1_別立.webp,180,1260,180,180
別立ち_服_ノーブラ下着_憤怒_1,1_別立.webp,360,1260,180,180
別立ち_服_ノーパン下着_通常_1,1_別立.webp,0,1440,180,180
別立ち_服_ノーパン下着_笑顔_1,1_別立.webp,180,1440,180,180
別立ち_服_ノーパン下着_憤怒_1,1_別立.webp,360,1440,180,180
別顔_服_下着_通常_1,1_別顔_下着.webp,0,0,180,180
別顔_服_下着_笑顔_1,1_別顔_下着.webp,180,0,180,180
別顔_服_下着_憤怒_1,1_別顔_下着.webp,360,0,180,180
別顔_服_下着_自慰_1,1_別顔_下着.webp,720,0,180,180
別顔_服_下着_発情_1,1_別顔_下着.webp,900,0,180,180
別顔_服_下着_愛撫_1,1_別顔_下着.webp,0,180,180,180
別顔_服_下着_性交_1,1_別顔_下着.webp,180,180,180,180

;エフェクト
別顔_照れ_1,1_別顔.webp,540,0,180,180
別顔_吐息_1,1_別顔.webp,360,360,180,180
別顔_汗_1,1_別顔.webp,540,180,180,180
別顔_裸汗_1,1_別顔.webp,540,360,180,180
別顔_下着照れ_1,1_別顔.webp,540,0,180,180
別顔_下着吐息_1,1_別顔.webp,360,360,180,180
別顔_下着汗_1,1_別顔.webp,540,180,180,180
別顔_下着裸汗_1,1_別顔.webp,540,360,180,180
別顔_睡眠照れ_1,1_別顔_睡眠.webp,540,0,180,180
別顔_睡眠吐息_1,1_別顔_睡眠.webp,900,180,180,180
別顔_睡眠汗_1,1_別顔_睡眠.webp,540,180,180,180
別顔_睡眠裸汗_1,1_別顔_睡眠.webp,720,180,180,180

;おまけ
別顔_AFTERTRAニー_1,1_別顔_睡眠.webp,720,0,180,180
;******************************
;コスプレ
;******************************
